id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40128664,Boutique hotel in Florence · 1 bedroom · 1 bed · 1 private bath,305439008,Giovanni,,Centro Storico,43.7815,11.25944,Private room,120,1,0,,,13,141,0,
40135532,Rental unit in Florence · ★4.58 · 1 bedroom · 2 beds · 1 bath,1215999,Giovannella,,Centro Storico,43.77242,11.26553,Entire home/apt,60,7,24,2023-06-17,0.57,2,255,12,
40147489,Rental unit in Florence · ★4.92 · 2 bedrooms · 5 beds · 2 baths,19613323,Luca,,Centro Storico,43.774853,11.253053,Entire home/apt,260,2,176,2023-06-20,4.17,15,15,69,
40149699,Serviced apartment in Florence · ★4.20 · 1 bedroom · 3 beds · 2 baths,180222038,Siyu,,Centro Storico,43.77577,11.25029,Entire home/apt,85,1,11,2020-04-12,0.26,2,0,0,
40170722,Rental unit in Florence · ★5.0 · 1 bedroom · 2 beds · 1 bath,10926673,Simona,,Isolotto Legnaia,43.77768,11.21385,Entire home/apt,75,2,3,2020-01-05,0.07,1,237,0,
40186541,Rental unit in Florence · ★4.90 · 1 bedroom · 2 beds · 1 bath,11780175,Dania,,Centro Storico,43.77777897343225,11.241353478549549,Entire home/apt,150,1,42,2023-06-19,0.97,1,125,26,
40187029,Rental unit in Florence · ★5.0 · 4 bedrooms · 4 beds · 4.5 baths,312062553,Flavia,,Centro Storico,43.770096,11.261497,Entire home/apt,1071,4,27,2023-06-20,0.64,4,171,19,
40194002,Rental unit in Florence · ★4.08 · 2 bedrooms · 3 beds · 1 bath,380378,Officina 360,,Centro Storico,43.77277,11.24637,Entire home/apt,177,1,24,2023-01-06,0.55,27,329,6,
40194417,Rental unit in Florence · ★4.78 · 3 bedrooms · 4 beds · 3 baths,45259442,Istay,,Centro Storico,43.766281,11.249346,Entire home/apt,239,1,27,2022-08-18,0.64,140,11,8,
40198090,Rental unit in Florence · ★4.59 · 2 bedrooms · 3 beds · 2 baths,129216,Cristina,,Centro Storico,43.77032,11.25367,Entire home/apt,220,3,34,2023-06-15,0.82,12,192,19,
40202966,Place to stay in Florence · ★4.71 · 1 bedroom · 1 bed · 1 private bath,310487364,Eleonora,,Centro Storico,43.77446,11.249967,Private room,100,2,63,2023-06-17,1.49,4,65,40,
40203934,Rental unit in Florence · 6 bedrooms · 12 beds · 6 baths,42891942,Renato,,Centro Storico,43.7669,11.25375,Private room,35,1,0,,,14,0,0,
40203936,Rental unit in Florence · ★5.0 · 1 bedroom · 1 bed · 1 private bath,42891942,Renato,,Centro Storico,43.7669,11.25375,Private room,59,1,3,2021-08-29,0.09,14,0,0,
40216594,Rental unit in Florence · 1 bedroom · 3 beds · 1 private bath,42891942,Renato,,Centro Storico,43.7669,11.25375,Private room,69,1,0,,,14,0,0,
40217513,Rental unit in Florence · 1 bedroom · 3 beds · 1 private bath,42891942,Renato,,Centro Storico,43.7669,11.25375,Private room,99,1,0,,,14,0,0,
40222183,Rental unit in Florence · ★4.71 · 2 bedrooms · 2 beds · 2 baths,45259442,Istay,,Centro Storico,43.775558,11.257647,Entire home/apt,512,1,17,2022-07-26,0.50,140,47,4,048017LTN5030
40242205,Rental unit in Florence · ★5.0 · 2 bedrooms · 3 beds · 1 bath,310704680,Francesco,,Rifredi,43.79716,11.2419,Entire home/apt,69,2,7,2020-08-16,0.17,1,78,0,
40244740,Condo in Florence · ★4.0 · 4 bedrooms · 4 beds · 2 baths,45259442,Istay,,Centro Storico,43.774815,11.256928,Entire home/apt,239,1,4,2021-08-18,0.16,140,11,0,
40246929,Rental unit in Florence · 1 bedroom · 2 beds · 1 bath,45259442,Istay,,Centro Storico,43.774815,11.256928,Entire home/apt,239,1,1,2020-09-20,0.03,140,0,0,
40256518,Condo in Florence · ★4.86 · 3 bedrooms · 3 beds · 2 baths,310912890,Giuseppe,,Centro Storico,43.77205276489258,11.254595756530762,Entire home/apt,393,3,37,2023-05-19,0.86,1,116,33,Il Codice Identificativo Regionale (C.I.R) in base all’ articolo 70 della legge regionale 86 del 2016 è: 048017LTN1462.
40263344,Rental unit in Florence · ★5.0 · 1 bedroom · 1 bed · 1 bath,122048407,Simone,,Isolotto Legnaia,43.76695,11.21557,Entire home/apt,50,2,8,2022-11-30,0.72,1,169,8,
40270482,Guest suite in Florence · ★4.70 · 1 bedroom · 2 beds · 1 private bath,10904607,Ugo,,Centro Storico,43.77033,11.27088,Private room,131,1,40,2023-05-19,0.94,1,253,22,
40275027,Bed and breakfast in Florence · 1 bedroom · 1 bed · 1 private bath,311074454,Giacomo,,Centro Storico,43.7812,11.25882,Private room,45,1,0,,,4,0,0,
